0,Suryakumar Yadav,KKR,bowl,55,1,6,8,0,8,0,8,0,8,0,0,0,0
3,Piyush Chawla,KKR,bowl,129,128,2563,3261,126,17,4,17,4,7.63,25.88,20.34,0,0
4,Brad Hogg,KKR,bowl,21,21,458,570,23,29,4,29,4,7.47,24.78,19.91,0,0
1,Morne Morkel,KKR,bowl,70,70,1629,2089,77,20,4,20,4,7.69,27.13,21.16,0,0
1,Sunil Narine,KKR,bowl,82,81,1925,2031,95,19,5,19,5,6.33,21.38,20.26,1,0
2,Yusuf Pathan,KKR,bowl,149,80,1129,1393,41,20,3,20,3,7.4,33.98,27.54,0,0
4,Andre Russell,KKR,bowl,34,34,631,896,31,20,4,20,4,8.52,28.9,20.35,0,0
2,Shakib Al Hasan,KKR,bowl,43,42,921,1101,43,17,3,17,3,7.17,25.6,21.42,0,0
1,Umesh Yadav,KKR,bowl,94,93,1934,2707,91,24,4,24,4,8.4,29.75,21.25,0,0
4,Anureet Singh,KXIP,bowl,20,19,388,581,17,23,3,23,3,8.98,34.18,22.82,0,0
4,Rishi Dhawan,KXIP,bowl,26,25,488,640,18,14,2,14,2,7.87,35.56,27.11,0,0
2,Mitchell Johnson,KXIP,bowl,48,48,1106,1486,59,26,3,26,3,8.06,25.19,18.75,0,0
4,Glenn Maxwell,KXIP,bowl,57,33,324,479,11,15,2,15,2,8.87,43.55,29.45,0,0
2,Axar Patel,KXIP,bowl,59,59,1251,1547,58,21,4,21,4,7.42,26.67,21.57,0,0
1,Mohit Sharma,KXIP,bowl,75,75,1534,2076,83,14,4,14,4,8.12,25.01,18.48,0,0
0,Pardeep Sahu,KXIP,bowl,5,5,105,146,3,18,2,18,2,8.34,48.67,35,0,0
0,Swapnil Singh,KXIP,bowl,5,5,60,90,1,14,1,14,1,9,90,60,0,0
0,Murali Vijay,KXIP,bowl,100,4,36,49,0,8,0,8,0,8.17,0,0,0,0
0,Kyle Abbott,KXIP,bowl,5,5,96,177,2,38,1,38,1,11.06,88.5,48,0,0
0,KC Cariappa,KXIP,bowl,10,10,204,314,8,16,2,16,2,9.24,39.25,25.5,0,0
0,Gurkeerat Singh Mann,KXIP,bowl,30,6,78,97,5,15,2,15,2,7.46,19.4,15.6,0,0
2,Sandeep Sharma,KXIP,bowl,56,56,1225,1587,71,20,4,20,4,7.77,22.35,17.25,0,0
0,Marcus Stoinis,KXIP,bowl,12,12,201,304,10,15,4,15,4,9.07,30.4,20.1,0,0
0,Shardul Thakur,KXIP,bowl,13,13,247,353,12,19,3,19,3,8.57,29.42,20.58,0,0
0,Shikhar Dhawan,SRH,bowl,127,6,48,66,4,7,1,7,1,8.25,16.5,12,0,0
4,Trent Boult,SRH,bowl,14,14,335,491,15,19,3,19,3,8.79,32.73,22.33,0,0
2,Moises Henriques,SRH,bowl,57,55,890,1244,38,16,3,16,3,8.39,32.74,23.42,0,0
4,Abhimanyu Mithun,SRH,bowl,16,16,288,472,7,37,2,37,2,9.83,67.43,41.14,0,0
4,Siddarth Kaul,SRH,bowl,21,21,423,596,22,29,4,29,4,8.45,27.09,19.23,0,0
4,Mustafizur Rahman,SRH,bowl,17,17,382,455,17,16,3,16,3,7.15,26.76,22.47,0,0
2,Karn Sharma,SRH,bowl,56,55,1034,1323,49,16,4,16,4,7.68,27,21.1,0,0
0,Tirumalsetti Suman,SRH,bowl,43,11,150,197,6,14,2,14,2,7.88,32.83,25,0,0
2,Yuvraj Singh,SRH,bowl,120,71,857,1054,36,29,4,29,4,7.38,29.28,23.81,0,0
1,Ashish Nehra,SRH,bowl,88,88,1908,2495,106,10,4,10,4,7.85,23.54,18,0,0
4,Ashish Reddy,SRH,bowl,31,20,262,396,18,25,3,25,3,9.07,22,14.56,0,0
4,Bipul Sharma,SRH,bowl,33,28,426,572,17,13,2,13,2,8.06,33.65,25.06,0,0
0,Ben Cutting,SRH,bowl,9,9,167,234,7,20,2,20,2,8.41,33.43,23.86,0,0
1,Bhuvneshwar Kumar,SRH,bowl,90,90,1981,2339,111,19,5,19,5,7.08,21.07,17.85,1,0
0,Vijay Shankar,SRH,bowl,5,1,6,19,0,19,0,19,0,19,0,0,0,0
4,Barinder Sran,SRH,bowl,16,16,327,477,14,28,3,28,3,8.75,34.07,23.36,0,0
