SM Katich,LR Shukla,2,2,0,0,0,0,0,4,2,50.0,0
Moises Henriques,Vinay Kumar,2,3,0,0,0,0,0,5,3,60.0,0
MV Boucher,Sohail Tanvir,1,1,0,0,0,0,0,2,1,50.0,0
S Rana,Dale Steyn,1,1,1,0,1,0,0,4,7,175.0,0
Yuvraj Singh,S Sreesanth,6,1,0,0,1,0,1,9,11,122.22222222222223,0
MEK Hussey,Stuart Binny,5,9,3,0,6,0,0,23,39,169.56521739130434,1
PD Collingwood,Piyush Chawla,3,1,0,0,0,0,0,4,1,25.0,1
VVS Laxman,WD Parnell,1,0,0,0,0,0,0,1,0,0.0,1
Dwayne Bravo,RS Bopara,1,2,0,0,0,0,1,4,8,200.0,1
OA Shah,MM Patel,2,3,0,0,0,0,1,6,9,150.0,0
V Sehwag,AG Murtaza,6,2,0,0,1,0,0,9,6,66.66666666666667,2
M Klinger,Zaheer Khan,3,4,0,0,2,0,0,9,12,133.33333333333334,0
Shane Watson,Kieron Pollard,8,4,0,0,2,0,2,16,24,150.0,2
PC Valthaty,CK Langeveldt,5,1,1,0,1,0,1,9,13,144.44444444444446,1
Chris Gayle,SB Jakati,2,3,0,0,1,0,2,8,19,237.5,0
S Badrinath,Lasith Malinga,18,13,0,0,6,0,0,37,37,100.0,1
Shahbaz Nadeem,Pawan Negi,5,1,0,0,0,0,0,6,1,16.666666666666668,2
Glenn Maxwell,Yuvraj Singh,2,1,0,0,1,0,2,6,17,283.3333333333333,0
Yuvraj Singh,Azhar Mahmood,1,0,0,0,0,0,0,1,0,0.0,1
Ajinkya Rahane,MK Tiwary,0,0,0,0,1,0,0,1,4,400.0,0
Robin Uthappa,JDP Oram,1,2,0,0,3,0,1,7,20,285.7142857142857,0
GJ Bailey,S Gopal,1,2,1,0,0,0,0,4,4,100.0,0
Ravindra Jadeja,Praveen Kumar,4,4,0,0,0,0,0,8,4,50.0,0
ShikhaRishi Dhawan,Washington Sundar,6,6,0,0,2,0,0,14,14,100.0,0
Imran Tahir,Ben Cutting,3,0,0,0,1,0,0,4,4,100.0,0
Chris Lynn,R Tewatia,5,7,0,0,0,0,0,12,7,58.333333333333336,0
Thisara Perera,Ishant Sharma,3,1,0,0,1,0,0,5,5,100.0,0
Zaheer Khan,RP Singh,2,2,0,0,0,0,0,4,2,50.0,0
Karn Sharma,Dwayne Bravo,7,9,2,0,1,0,0,19,17,89.47368421052632,2
Suresh Raina,Pawan Suyal,1,2,1,0,0,0,0,4,4,100.0,0
DJG Sammy,Ravichandran Ashwin,2,0,0,0,0,0,0,2,0,0.0,0
PR Shah,RP Singh,1,1,0,0,1,0,0,3,5,166.66666666666666,1
