Yusuf Pathan,Ankit Sharma,4,5,0,0,0,0,1,10,11,110.0,1,6,6
Amit Mishra,Brad Hogg,5,1,0,0,0,0,0,6,1,16.666666666666668,1,11,0
Aaron Finch,Dale Steyn,5,1,1,0,2,0,0,9,11,122.22222222222223,1,0,1
Sanju Samson,Karn Sharma,2,5,0,0,0,0,0,7,5,71.42857142857143,1,0,11
Vinay Kumar,Dhawal Kulkarni,6,3,1,0,0,0,0,10,5,50.0,0,11,7
Harbhajan Singh,Sreenath Aravind,2,1,0,0,0,0,0,3,1,33.333333333333336,1,4,5
Hardik Pandya,Mohit Sharma,1,1,0,0,0,0,0,2,1,50.0,1,11,7
Suresh Raina,Kieron Pollard,13,21,5,0,6,0,3,48,73,152.08333333333334,1,5,2
Andre Russell,Axar Patel,5,4,3,0,3,0,2,17,34,200.0,1,7,2
Gautam Gambhir,Chris Gayle,3,3,0,0,0,0,0,6,3,50.0,0,5,0
Kevin Pietersen,Dhawal Kulkarni,4,1,0,0,0,0,0,5,1,20.0,0,8,7
Naman Ojha,Dale Steyn,12,4,0,2,1,0,0,19,14,73.6842105263158,0,0,1
Ravindra Jadeja,Mohammed Shami,4,4,0,0,2,0,1,11,18,163.63636363636363,0,0,10
Iqbal Abdulla,Praveen Kumar,1,0,1,0,0,0,0,2,2,100.0,0,1,4
Mayank Agarwal,Ravichandran Ashwin,11,9,1,0,4,0,2,27,39,144.44444444444446,3,4,8
Stuart Binny,Umesh Yadav,2,0,0,0,2,0,2,6,20,333.3333333333333,2,4,8
Jos Buttler,Trent Boult,2,1,0,0,1,0,0,4,5,125.0,0,7,6
Glenn Maxwell,Pradeep Sangwan,1,1,1,0,0,0,2,5,15,300.0,0,8,5
Dinesh Karthik,Lasith Malinga,9,6,1,0,1,0,0,17,12,70.58823529411765,2,6,4
Chris Gayle,Bhuvneshwar Kumar,40,12,1,0,12,0,7,72,104,144.44444444444446,1,9,1
Ambati Rayudu,Kevin Pietersen,1,7,0,0,1,0,0,9,11,122.22222222222223,0,3,9
